child_dialect_count	child_family_count	child_language_count	family_pk	father_pk	hid	id	latitude	longitude	longitude	name	pk	Bantu_status	Ethnologue_Population	Ethnologue_L1	Ethnologue_L2	L2_extra_source_if_not_ethnologue	Num_of_neighbours_within_50k	tree_name	Guthrie	presence_in_Grollemund	comments_Grollemund_tree	level_of_description
3	0	0	104955	105704	bvb	bube1242	3.53638	8.68929	868.929	Bube	29796	Narrow Bantu	"51,000 (2011 S. Smith), decreasing. Few monolinguals."	51000			1	A31_Bubi	"A31, A221"	1		
3	0	0	104955	106260	bnm	bata1285	2.08708	9.75107	975.107	Batanga	29800	Narrow Bantu	"9,000 in Equatorial Guinea (Johnstone and Mandryk 2001), decreasing. Very few monolinguals. Total users in all countries: 15,000."	9000			1	A32C_Batanga	A32	1		
11	0	0	104955	29804	yko	yasa1242	2.06043	10678	10678	Yasa	29805	Narrow Bantu	"1,490 in Cameroon (2000). Ethnic population: 3,000. Total users in all countries: 2,400."	1490			0	A33a_Yasa	A33a	1		
3	0	0	104955	29804	nui	ngum1255	1.72096	9.73613	973.613	Ngumbi	29817	Narrow Bantu	"9,200 (2011 SIL). Few monolinguals. Ethnic population: 9,200."	9200			3		A33b	0		
0	0	0	104955	106260	bng	beng1282	0.8897	9.40336	940.336	Benga	29795	Narrow Bantu	"3,900 in Equatorial Guinea (2011 S. Smith), decreasing. 400 on Corisco Island. No monolinguals. Total users in all countries: 5,400."	3900			0	A34_Benga	A34	1		
0	0	0	104955	106253	bbi	baro1252	4.64584	9.25261	925.261	Barombi	29771	Narrow Bantu	"3,000 (2001 SIL)."	3000			5	A41_Barombi-Kang	A41	1		no adequate description
0	0	0	104955	106253	abb	bank1256	4.3702	9.6403	96.403	Bankon	29793	Narrow Bantu	"12,000 (2001 SIL)."	12000			5	A42_Abo	A42	1		
12	0	0	104955	106254	bas	basa1284	3.80765	10.4213	104.213	Basa (Cameroon)	29772	Narrow Bantu	"300,000 (2005 SIL). Based on the actual population of the subdivisions where the Basaa people are present, as of the official 2005 census (2014 C. Hamm)."	300000			0	A43a_Basaa	A43a	1		
7	0	0	104955	106254	bkh	bako1249	3.56518	9.99905	999.905	Bakoko	29785	Narrow Bantu	"50,000 (1982 SIL), increasing."	50000			1		A43b	0		
0	0	0	104955	106305	tvu	tune1261	NA	NA	NA	Tunen	104424	Narrow Bantu	"40,000 (1997 J. Mbongue). Ethnic population: 100,000 (1997 J. Mbongue)."	40000			10	A44_Tunen	"A44, A441"	1		
0	0	0	104955	106305	nvo	nyok1243	NA	NA	NA	Nyokon	104422	Narrow Bantu	"3,900 (Guthrie and Tucker 1956)."	3900			10	A45_Nyokon	A45	1		
0	0	0	104955	106305	lem	noma1260	4.5893	10.9157	109.157	Nomaande	31141	Narrow Bantu	"6,000 (1982 SIL), increasing."	6000			13	A46_Nomaande	A46	1		
0	0	0	104955	106118	ttf	tuot1238	4.65626	10.6592	106.592	Tuotomb	31139	Narrow Bantu	"1,000 (Dimmendaal and Voeltz 2007)."	10000			11		A461	0		
2	0	0	104955	106118	yat	yamb1252	4.83615	10.9369	109.369	Yambeta	31136	Narrow Bantu	"3,700 (1982 SIL)."	3700			12	A462_Yambeta	A462	1		
0	0	0	104955	106475	hij	hiju1238	4.39641	10.9081	109.081	Hijuk	29729	Narrow Bantu	400 (1992 SIL).	400			12		A501	0		no description
4	0	0	104955	106420	lfa	lefa1242	5.05845	11114	11114	Lefa	29720	Narrow Bantu	"15,000 (2010 SIL)."	15000			5		A51	0		
0	0	0	104955	106252	dii	dimb1238	4.80551	10.9888	109.888	Dimbong	29730	Narrow Bantu	"140 (1992 SIL). Ethnic population: 50,000."	140			11		A52	0		no description 21-11-2016
2	0	0	104955	106420	ksf	bafi1243	4.72603	11.0982	110.982	Bafia	29726	Narrow Bantu	"60,000 (1991 UBS)."	60000			15	A53_Bafia_rikpa	A53	1	"2, A51_Bafia_maja"	
0	0	0	104955	106087	ngy	tibe1274	5.30535	11.3103	113.103	Tibea	29725	Narrow Bantu	"1,400 (1992 SIL)."	1400			1	A54_Tibea	A54	1		
0	0	0	104955	31151	leo	leti1245	4.57457	11405	11405	Leti (Cameroon)	31160	Narrow Bantu	Ethnic population: No ethnic community.	0			10	A63_Mangisa	A601	1		"no description 21-11-2016. Leti is a secret language of tradition, not everyday language"
7	0	0	104955	31151	bag	tuki1240	4.64348	11.5353	115.353	Tuki	31152	Narrow Bantu	"26,000 (1982 SIL), increasing."	26000			5	A601_Tuki	A601	1	"4, A61_Ngoro-Asom ; A61_Ngoro-Bisoo ; A61_Ngoro-lunda"	
0	0	0	104955	107595	ekm	elip1238	4.45694	11193	11193	Elip	31127	Narrow Bantu	"6,400 (1982 SIL)."	6400			14	A62C_Libie	A62	1		
0	0	0	104955	107595	mmu	mmaa1238	4.52188	11.0599	110.599	Mmaala	31130	Narrow Bantu	"8,000 (2014 G. Boyd)."	8000			14	A62B_Mmala	A62	1		
0	0	0	104955	106475	yav	yang1293	4.41971	11.0277	110.277	Yangben	31131	Narrow Bantu	"2,300 (1994 SIL)."	2300			15	A62A_Nuasue	A62	1	"2, A62A_Nukalonge"	
0	0	0	104955	106474	baf	nuba1241	4.35696	11029	11029	Nubaca	31129	Narrow Bantu	"4,500 (2007 SIL). No monolinguals. Ethnic population: 5,000."	4500			12	A621_Nubaca	A621	1		
2	0	0	104955	106119	yas	nugu1242	4.63103	11.1837	111.837	Nugunu (Cameroon)	31132	Narrow Bantu	"35,000 (1987 SIL)."	35000			15	A622_Nugunu	A622	1		
0	0	0	104955	106474	mlb	mbul1262	4.50635	10.9924	109.924	Mbule	31128	Narrow Bantu	110 (2009 SIL). No monolinguals.	110			14		A623	0		
0	0	0	104955	106475	btc	bati1251	4.25573	11.0591	110.591	Bati (Cameroon)	31140	Narrow Bantu	800 (1975 census).	800			9		A65	0		no description
4	0	0	104955	29821	eto	eton1253	4.21045	11.3935	113.935	Eton (Cameroon)	29839	Narrow Bantu	"250,000 (2005 census). Based on census results for whole Lekie division. Delpech (1985: 161), cited in Van de Velde 2006, gives 250,000 in 1982 (2014 C. Hamm)."	250000			6	A71_Eton	A71	1		
15	0	0	104955	106264	ewo	ewon1239	4.21141	11.9365	119.365	Ewondo	29822	Narrow Bantu	"578,000 (1982 SIL)."	578000			0	A72a_Ewondo	A72	1		
2	0	0	104955	106264	beb	bebe1248	4.78874	12824	12824	Bebele	29857	Narrow Bantu	"24,000 (Welmers 1971a)."	24000			0		A73a	0		
0	0	0	104955	106264	bxp	bebi1242	4.86672	13.3848	133.848	Bebil	29838	Narrow Bantu	"6,000 (1991 SIL)."	6000			1		A73b	0		no description
5	0	0	104955	29821	bum	bulu1251	3.16141	11.6365	116.365	Bulu (Cameroon)	29850	Narrow Bantu	"858,000 (2007). L2 users: 800,000 (1991 UBS)."	858000	800000		1	A74a_Bulu	A74	1		
5	0	0	104955	29821	fan	fang1246	1.72397	11.6145	116.145	Fang (Equatorial Guinea)	29844	Narrow Bantu	"589,000 in Equatorial Guinea (2013 S. Smith), increasing. L2 users: 35,000 in Equatorial Guinea (2013 S. Smith). Total users in all countries: 1,106,900 (as L1: 1,071,900; as L2: 35,000)."	1071900	35000		0	A75a_Fang_Bitam	"A75, A751"	1	"3, A75a_Fang_Medouneu; A75a_Fang_Minvoul"	
4	0	0	104955	106679	ukh	ukhw1241	2.9095	16267	16267	Ukhwejo	29890	Narrow Bantu	"2,000 (1996 SIL)."	2000			0		A802	0		no description
0	0	0	104955	106258	gyi	gyel1242	2.47457	10.2493	102.493	Gyele	29905	Narrow Bantu	"4,250 in Cameroon (2012 SIL). Total users in all countries: 4,279."	4250			1		A81 A801	0		
3	0	0	104955	106258	nmg	kwas1243	2.39354	10.0812	100.812	Kwasio	29924	Narrow Bantu	"9,000 in Cameroon (1982 SIL), increasing. Total users in all countries: 22,000."	9000			1	A81_Kwasio	"A81, A801"	1		
2	0	0	104955	106573	sox	soca1235	3.68257	12525	12525	So (Cameroon)	29902	Narrow Bantu	"9,000 (1992 SIL)."	9000			1		A82	0		no description 18 11 2016
3	0	0	104955	106573	mcp	maka1304	4.15471	13.0789	130.789	Makaa	29928	Narrow Bantu	"80,000 (1987 SIL)."	80000			0	A83_Mekaa	A83	1		
2	0	0	104955	106573	mkk	byep1241	4.57276	13.4625	134.625	Byep	29910	Narrow Bantu	"9,500 (1988 SIL)."	9500			2		A831	0		no description
4	0	0	104955	106573	biw	kolc1235	3.65994	12.8574	128.574	Kol (Cameroon)	29897	Narrow Bantu	"12,000 (2007 B. Henson). 1,000 in Bikeng."	12000			1	A832_Bekol	A832	1		
0	0	0	104955	106574	njy	njye1238	2.30483	14.1175	141.175	Njyem	29913	Narrow Bantu	"4,400 in Cameroon (2005 SIL). Based on the actual population of the subdivision where the Njyem people are present, as of the official 2005 census (2014 C. Hamm). No monolinguals. Total users in all countries: 7,900."	4400			1	A84_Njem	A84	1		
2	0	0	104955	106574	ozm	koon1245	3.25933	13.5415	135.415	Koonzime	29915	Narrow Bantu	"40,000 (2011 SIL). No monolinguals. Ethnic population: 40,000."	40000			0	A841_Badwe	"A841, A842"	1		
1	0	0	104955	106572	bkw	bekw1242	1.71801	14.6527	146.527	Bekwil	29895	Narrow Bantu	"9,600 in Congo (2003). Total users in all countries: 13,600."	9600			0	A85b_Bekwil_Mv	"A85a, A85b"	1	"2, A85b_Bekwil_Makokou"	
5	0	0	104955	106572	mgg	mpon1254	3.14015	14866	14866	Mpongmpong	29918	Narrow Bantu	"45,000 (1991 SIL)."	45000			0		A86	0		
3	0	0	104955	106679	mcx	mpie1238	3.45776	15.5246	155.246	Mpiemo	29906	Narrow Bantu	"24,000 in Central African Republic (1996). Total users in all countries: 29,000."	24000			2	A86c_Mpiemo	A86c	1		
0	0	0	104955	106425	bmw	bomw1238	1.71005	15.9546	159.546	Bomwali	29914	Narrow Bantu	"33,200 in Congo (2002). Total users in all countries: 39,300."	33200			2	A87_Bomwali	A87	1		
4	0	0	104955	29860	kwu	kwak1266	4.34393	13.6446	136.446	Kwakum	29872	Narrow Bantu	"10,000 (2002 SIL)."	10000			1	A91_Kwakum	A91	1		
5	0	0	104955	29860	pmm	pomo1271	1.83	16.17	16.17	Pomo	29861	Narrow Bantu	"38,700 in Cameroon (2000). Total users in all countries: 44,130."	38700			3		A92	0		
4	0	0	104955	29860	kkj	kako1242	3.79989	15.6282	156.282	Kako	29867	Narrow Bantu	"100,000 in Cameroon (2003 SIL). Total users in all countries: 119,460."	100000			3	A93_Kako	A93	1		
6	0	0	104955	106086	mye	myen1241	-1.48741	9.50247	950.247	Myene	29994	Narrow Bantu	"45,000 (Idiata 2007). 1,000-2,000 Dyumba, 1,000-5,000 Enenga, 2,000-11,000 Galwa, 1,000-4,000 Mpongwe, 10,000 Orungu, 20,000 Nkomi."	45000			0	B11a_Mpongwe	B11	1	"5, B11b_Orungu ; B11c_Galwa ; B11d_Dyumba ; B11F_Enenga"	
0	0	0	104955	106568	nda	ndas1238	-2.44901	13.3695	133.695	Ndasa sud	29955	Narrow Bantu	"4,530 in Congo (2000). Total users in all countries: 5,530."	4530			2	B201_Ndasa	B201	1		
0	0	0	104955	106280	sxe	sigh1238	-0.95605	13.1214	131.214	Sighu	29947	Narrow Bantu	"1,000 (1990 CMA)."	1000			1	B202_Sigu	B202	1		
0	0	0	104955	106422	syx	osam1235	NA	NA	NA	Osamayi	29948	Narrow Bantu	"1,000 (Idiata 2007)."	1000			10	B203_Samaye	B203	1		
0	0	0	104955	106570	nxo	ndam1254	NA	NA	NA	Ndambomo	104420	Narrow Bantu	"1,000 (2016). P. Medjo-Mv\'e."	1000			10	B204_Ndambomo_Li	B204	1	"3, B204_Ndambomo_Mbadi ; B204_Ndambomo_Massoukou"	
0	0	0	104955	106092	syi	seki1238	1.52302	9.79206	979.206	Seki	29946	Narrow Bantu	"1,000 in Gabon (Idiata 2007). Total users in all countries: 12,000."	1000			2	B21_Seki	B21	1		
2	0	0	104955	106424	keb	kele1257	-0.78854	10.3836	103.836	K_l_	29952	Narrow Bantu	"1,000 (Idiata 2007)."	1000			0	B22a_Kele	B22	1		
0	0	0	104955	106677	nra	ngom1270	0.882925	14.1345	141.345	Ngom nord	29950	Narrow Bantu	"8,240 in Gabon (2000). Total users in all countries: 12,770."	8240			1	B22b_Ngom	B22	1	"2, B22b_Koya"	
0	0	0	104955	106092	bxc	mole1238	1.3718	9.61289	961.289	Molengue	29959	Narrow Bantu	"1,000 (2011 SIL), decreasing. L2 users: 0. Few monolinguals. Ethnic population: 1,000."	1000			2		B221	0		no description 30-11-2016
0	0	0	104955	106569	zmn	mban1268	-2.28729	13.5956	135.956	Mbangwe	29951	Narrow Bantu	"2,000 in Gabon (Idiata 2007). Total users in all countries: 3,510."	2000			2	B23_Mbangwe	B23	1		
0	0	0	104955	106568	wum	wumb1242	-2.39234	12264	12264	Wumbvu	29956	Narrow Bantu	"18,300 in Gabon (2000)."	18300			0	B24_Wumbvu	B24	1		
0	0	0	104955	106421	koq	kota1274	0.077515	14.3796	143.796	Kota (Gabon)	29958	Narrow Bantu	"25,000 in Gabon (Idiata 2007). Total users in all countries: 34,060."	25000			0	B25_Kota	B25	1		
0	0	0	104955	106570	sak	sake1247	0.25188	11787	11787	Sake	29949	Narrow Bantu	"8,000 (Idiata 2007)."	8000			1	B251_Shake	B251	1		
0	0	0	104955	106421	mhb	maho1248	0.64356	14.0472	140.472	Mahongwe	29957	Narrow Bantu	"8,000 (Idiata 2007)."	8000			1	B252_Mahongwe	B252	1		
0	0	0	104955	106419	gev	eviy1235	NA	NA	NA	Viya	29987	Narrow Bantu	50 (2013 D. Cavar). Ethnic population: 400 (2013 D. Cavar).	50			10	B301_Viya	B301	1		
0	0	0	104955	106418	sbw	simb1254	-1.28107	11.1783	111.783	Simba	29986	Narrow Bantu	100 (Idiata 2007).	100			1	B302_Himba	B302	1		wait for IBL
0	0	0	104955	106418	pic	pinj1243	-1.90305	11223	11223	Pinji	29985	Narrow Bantu	"1,000 (Idiata 2007)."	1000			1	B304_Pinzi	B304	1		
0	0	0	104955	106419	buw	bubi1250	-1.16762	12.3225	123.225	Bubi	29984	Narrow Bantu	"4,000 (Idiata 2007)."	4000			0	B305_Vove	B305	1		
0	0	0	104955	106419	tsv	tsog1243	-1.55469	11.1359	111.359	Tsogo	29988	Narrow Bantu	"9,000 (Idiata 2007)."	9000			2	B31_Tsogo	B31	1		
0	0	0	104955	106418	kbs	kand1300	-0.00776	11.7076	117.076	Kande	29989	Narrow Bantu	100 (Grollemund 2005).	100			1	B32_Kande	B32	1		
0	0	0	104955	107684	bwz	bwis1242	-3.23686	11.9595	119.595	Bwisi	30019	Narrow Bantu	"3,020 in Congo (2000). Total users in all countries: 4,250."	3020			0		B401	0		
0	0	0	104955	106592	bbg	bara1362	-2.49659	10.6777	106.777	Barama	30017	Narrow Bantu	"1,000 (Idiata 2007)."	1000			1		B402	0		
0	0	0	104955	106591	vum	vumb1238	-2.17673	10.6498	106.498	Vumbu	30021	Narrow Bantu	"5,000 (Idiata 2007)."	5000			2		B403	0		
0	0	0	104955	106592	swj	sira1266	-1.78084	10.4635	104.635	Sira	30018	Narrow Bantu	"39,400 (2000). 30,000-40,000 (Idiata 2007)."	39400			1	B41_Shira	"B41, B411"	1		scan source
0	0	0	104955	106283	snq	sang1333	-1.52694	11.9098	119.098	Sangu (Gabon)	30020	Narrow Bantu	"30,000 (Idiata 2007)."	30000			0	B42_Sangu_Mi	B42	1	"2, B42_Sangu_Mb"	
0	0	0	104955	106591	puu	punu1239	-2.67362	11.6714	116.714	Punu	30023	Narrow Bantu	"152,000 in Gabon (Idiata 2007). Total users in all countries: 161,060."	152000			0	B43_Punu	B43	1		
0	0	0	104955	107684	lup	lumb1249	-3.37917	11124	11124	Lumbu	30022	Narrow Bantu	"19,700 in Gabon (2000). Total users in all countries: 22,720."	19700			0	B44_Lumbu	B44	1		
0	0	0	104955	106590	wdd	wand1266	-1.51945	12.8951	128.951	Wandji	30005	Narrow Bantu	"10,000 (Idiata 2007)."	10000			1	B501_Wanzi_E	B501	1	"2, B501_Wanzi_Mo"	
0	0	0	104955	106590	dma	duma1253	-0.91927	13.0046	130.046	Duma	30007	Narrow Bantu	"9,840 (2000)."	9840			1	B51_Duma	B51	1	"2, B51_Duma_La"	
0	0	0	104955	106589	nzb	njeb1242	-2.18115	12.7063	127.063	Njebi	30008	Narrow Bantu	"120,000 in Gabon (2007 R. Radke). Total users in all countries: 135,100."	120000			2	B52_Nzebi	B52	1		
0	0	0	104955	106589	tsa	tsaa1242	-2.29245	12.7581	127.581	Tsaangi	30006	Narrow Bantu	"13,600 in Congo (2000). Total users in all countries: 22,210."	13600			1	B53_Tsaangi_Poungi	B53	1		
0	0	0	104955	106443	kzo	kani1279	-1.71316	13.6111	136.111	Kaningi	29934	Narrow Bantu	"1,000 (Idiata 2007)."	1000			2	B602_Kaningi_Nord	B602	1	"2, B602_Kaningi_Sud"	no description
1	0	0	104955	106588	mdt	mber1257	-0.477445	14.2877	142.877	Mbere	29943	Narrow Bantu	"60,400 in Congo (2000). Total users in all countries: 105,900."	60400			0		B61	0		
0	0	0	104955	106588	mbm	omba1241	-2.75341	13617	13617	Ombamba	29942	Narrow Bantu	"15,100 (2000)."	15100			2	B62_Mbaama	B62	1	"2, B601_Lempini"	
4	0	0	104955	106443	nmd	ndum1239	-1.67033	13.7279	137.279	Ndumu	29937	Narrow Bantu	"3,000 (Idiata 2007)."	3000			2	B63_Ndumu	B63	1		
0	0	0	104955	106444	tck	tchi1245	-2.03393	13.6001	136.001	Tchitchege	29981	Narrow Bantu	"2,000 (2003)."	2000			3	B701_Atsitsege	B701	1		no description
4	0	0	104955	106588	teg	teke1275	-1.61688	14.8664	148.664	Teke-Tege	29962	Narrow Bantu	"90,000 in Gabon (2011 SIL). No monolinguals. Total users in all countries: 139,300."	90000			0	B71a_Teke_Os	B71	1	"3, B71a_Teke_Dj ; B71aLe_Teke_Leconi"	
1	0	0	104955	106281	ngz	ngun1272	-1.82055	15.6218	156.218	Ngungwel	29972	Narrow Bantu	"45,000 (1988 SIL)."	45000			0		"B72, B74"	0		wait for IBL
0	0	0	104955	106281	ebo	teke1278	-2.6236	17031	17031	Teke-Ebo	29975	Narrow Bantu	"20,400 in Congo (2000). 740,000 all Teke languages in Congo (2012 World Factbook)."	20400			1		"B72, B74"	0		
0	0	0	104955	107690	iyx	yaka1274	-3.73301	13.3637	133.637	Yaka (Congo)	29961	Narrow Bantu	"10,000 (1988)."	100000			2		B73	0		
0	0	0	104955	107690	lli	teke1277	-3.34458	13.2703	132.703	Teke-Laali	29974	Narrow Bantu	"2,100 (2006). 740,000 all Teke languages in Congo (2012 World Factbook)."	2100			1		B73	0		
0	0	0	104955	107690	tyi	teke1281	-2.98028	13.8603	138.603	Teke-Tsaayi	29980	Narrow Bantu	"95,900 (2000). 740,000 all Teke languages in Congo (2012 World Factbook)."	95900			1		B73	0		
0	0	0	104955	106448	tyx	teke1276	-3.50685	13.8668	138.668	Teke-Tyee	29971	Narrow Bantu	"14,400. 740,000 all Teke languages in Congo (2012 World Factbook)."	14400			0		B73	0		
3	0	0	104955	106281	tek	ibal1241	-4.20697	15.3893	153.893	Ibali Teke	29976	Narrow Bantu	"167,000 in Democratic Republic of the Congo (2000). Total users in all countries: 203,200."	167000			0	B71aIb_Teke_Ibali_Congo	"B75, B76"	1		
0	0	0	104955	106447	kkw	teke1280	-2.27122	14.4407	144.407	Teke-Kukuya	29982	Narrow Bantu	"38,800 (2000). 740,000 all Teke languages in Congo (2012 World Factbook)."	38800			0		B77a	0		
2	0	0	104955	106447	ifm	teke1274	-3.59003	15.5061	155.061	Teke-Fuumu	29968	Narrow Bantu	"8,150 (2000). 740,000 all Teke languages in Congo (2012 World Factbook)."	8150			0	B77b_Fumu	"B77b, B78"	1	"2, B78_Wuumu"	
0	0	0	104955	107685	tii	tien1242	-2.84694	16.4765	164.765	Tiene	30003	Narrow Bantu	"24,500 (1977 SIL)."	24500			0	B81_Tiene	B81	1		
0	0	0	104955	107685	boh	boma1246	3.5857	22973	22973	Boma	30002	Narrow Bantu	"20,500 (2000)."	20500			0	B82_Buma	B82	1		
2	0	0	104955	106285	zmf	mfin1238	-4.26573	16.2559	162.559	Mfinu	30010	Narrow Bantu	"8,400 (2002)."	8400			0		B83	0		
2	0	0	104955	106285	zmp	mpuo1241	-5.21134	19.4269	194.269	Mpuono	30013	Narrow Bantu	"165,000 (Nida 1972)."	165000			0	B84_Mbunda	B84	1		
1	0	0	104955	107687	yns	yans1239	-3.8231	18.2341	182.341	Yansi	29991	Narrow Bantu	"100,000 (1997 S. Mufwene)."	100000			1	B85_Yanzi	B85	1		
1	0	0	104955	107687	yns2	yans1239	-3.8231	18.2341	182.341	Yansi	29991	Narrow Bantu	"100,000 (1997 S. Mufwene)."	100000			1	B85_Yanzi	B85	1		
0	0	0	104955	107686	soo	song1299	-4.55057	18.4978	184.978	Songo	30033	Narrow Bantu	"13,000 (2002)."	13000			0	B85d_Nsongo	B85	1		scan source
0	0	0	104955	106588	nlo	ngul1247	-4.09816	19.5129	195.129	Ngul	29935	Narrow Bantu	"8,400 (2002)."	8400			1	B861_Ngul	B86	1		wait for IBL
0	0	0	104955	29990	diz	ding1239	-4.44304	19.3881	193.881	Ding	29993	Narrow Bantu	"155,000 (2002)."	155000			1	B86_Dinga	B86	1	"3, B86_Dzing; B85e_Mput ; B863_Pindi, B864_Ngong"	
0	0	0	104955	106100	bok	bonj1234	2.39823	17.6298	176.298	Bonjo	104800	Narrow Bantu	"3,000.00"	3000			1		C10?	0		
3	0	0	104955	106100	bvx	dibo1245	1.07773	17.2305	172.305	Dibole	29694	Narrow Bantu	"4,000 (Leitch 2004). No monolinguals (Leitch 2004). Ethnic population: 4,000."	4000			0	C101_Babole_Dz	C101	1	"3, C101_Babole_Ma; C101_Babole_Ep"	
2	0	0	104955	106274	ngd	ngan1304	3.71666	17.6499	176.499	Ngando (Central African Republic)	29515	Narrow Bantu	"5,000 (1996)."	5000			2		"C102, C103"	0		
4	0	0	104955	106273	axk	yaka1272	3.6515	17.2713	172.713	Yaka (Central African Republic)	29518	Narrow Bantu	"15,000 in Central African Republic (1996). Total users in all countries: 30,000."	15000			2	C104_Aka	C104	1	"2, C105_Mbenga"	
0	0	0	104955	106273	ndn	ngun1270	1.63917	16125	16125	Ngundi	29693	Narrow Bantu	"3,000 in Congo (2004)."	3000			2		C11	0		no description
2	0	0	104955	106273	bkj	pand1264	3.57935	16.2275	162.275	Pande	29706	Narrow Bantu	"8,870 (2010 census)."	8870			0		C12	0		
4	0	0	104955	106273	mdn	mbat1248	3.94184	17.7529	177.529	Mbati	29698	Narrow Bantu	"60,000 (2010 census)."	60000			2		C13	0		
2	0	0	104955	106100	zmx	bomi1238	1.70044	17.3733	173.733	Bomitaba	29703	Narrow Bantu	"9,600 in Congo (2000). Total users in all countries: 9,820."	9600			0		C14	0		
0	0	0	104955	106274	bui	bong1284	0.37063	16.6079	166.079	Bongili	29692	Narrow Bantu	"4,000.00"	4000			0	C15_Bongili	C15	1	"2, C141_Bonyala"	
4	0	0	104955	106756	loq	loba1239	2.04881	18.3667	183.667	Lobala	29620	Narrow Bantu	"60,000 (2000 D. Morgan). Very few monolinguals."	60000			2		C16	0		
0	0	0	104955	106682	bkp	boko1263	1.51612	18.8806	188.806	Boko (Democratic Republic of Congo)	29625	Narrow Bantu	"21,000.00"	21000			2		C16	0		
0	0	0	104955	106756	bml	bomb1261	1.99315	18.5131	185.131	Bomboli	29542	Narrow Bantu	"2,500 (1986 SIL)."	2500			3		C161	0		no description
0	0	0	104955	106580	bzo	boza1238	2.07295	18.6784	186.784	Bozaba	29543	Narrow Bantu	"5,500 (1983 census)."	5500			5		C162	0		no description
1	0	0	104955	106099	mdu	mbok1243	0.43541	14.7935	147.935	Mboko	29716	Narrow Bantu	"27,200 (2000)."	27200			0	C21_Ngare	C21 (C23)	1		
0	0	0	104955	106099	akw	akwa1248	-0.39897	15.4623	154.623	Akwa	29714	Narrow Bantu	"24,100 (2000)."	24100			1	C22_Akwa	C22	1		
0	0	0	104955	106099	koh	koyo1242	-0.69688	15.7508	157.508	Koyo	29715	Narrow Bantu	"1,000.00"	1000			1	C24_Koyo	C24	1		
0	0	0	104955	106099	mdw	mbos1242	-1.23019	15.5322	155.322	Mbosi	29710	Narrow Bantu	"108,000 (2000)."	108000			0	C25_Mboshi	C25	1	"5, C25A_Bunji ; C25B_Olee ; C25C_Ondinga ; C25E_Eboyi"	
0	0	0	104955	106272	kwc	likw1239	-0.48981	16.5967	165.967	Likwala	29713	Narrow Bantu	"45,300 (2000)."	45300			0		C26	0		no description
0	0	0	104955	106272	kxx	liku1242	-1.27931	16.4702	164.702	Likuba	29711	Narrow Bantu	"30,200 (2000)."	30200			1		C27	0		no description
